"cell_id","umap_x","umap_y","tissue_x","tissue_y","cluster","color_hex"
"bfapifmb-1",-6.48819155147386,-1.07274668975275,7364.9375,-8191.8251953125,"Epi_SecA","#E69F00"
"bfaplhfd-1",-6.81427139690232,-0.33949549062651,7368.119140625,-8202.642578125,"Epi_SecA","#E69F00"
"bfapnjjh-1",-6.88054794719529,-1.34228908582133,7370.87158203125,-8184.51904296875,"Epi_SecA","#E69F00"
"bfbaalcp-1",-6.02494377544236,-1.68822359605234,7360.47802734375,-8211.0546875,"Epi_SecA","#E69F00"
"bfbadpga-1",-6.20689243724656,-3.49816262288492,7361.59228515625,-8225.23828125,"Epi_SecA","#E69F00"
"bfbaebge-1",-7.01004404475999,-1.75749229951304,7353.8115234375,-8219.1220703125,"Epi_SecA","#E69F00"
"bfbaggmp-1",-6.14695448329759,-3.42334901853007,7354.81689453125,-8189.23291015625,"Epi_SecA","#E69F00"
"bfbbdcdo-1",-6.27955622127366,-1.74875247044962,7385.318359375,-8187.41259765625,"Epi_SecA","#E69F00"
"bfbbfdii-1",-6.35475773265672,-2.55339490933817,7378.310546875,-8209.130859375,"Epi_SecA","#E69F00"
"bfbbhdpe-1",-6.54656786372972,-0.00832133306663793,7380.193359375,-8200.685546875,"Epi_SecA","#E69F00"
"bfbbhham-1",-5.30538553645921,-0.153274297104295,7386.9814453125,-8195.8017578125,"Epi_SecA","#E69F00"
"bfbbjkga-1",-2.11171550205064,-0.638742621378119,7392.22705078125,-8084.6484375,"Epi_SecA","#E69F00"
"bfbbmjlf-1",-4.84340280940843,-4.85117303891581,7393.58251953125,-8100.81298828125,"Epi_SecA","#E69F00"
"bfbbodfb-1",-4.00521845271897,-3.79729711575907,7405.234375,-8097.2958984375,"Epi_SecA","#E69F00"
"bfbcanei-1",-6.20037121227098,0.469424252076928,7398.884765625,-8091.09375,"Epi_SecA","#E69F00"
"bfbcbgeg-1",-5.99935049465013,-0.229443948105987,7412.96484375,-8170.26806640625,"Epi_SecA","#E69F00"
"bfbccgke-1",-6.54905361583543,0.511202518506829,7394.55615234375,-8177.3349609375,"Epi_SecA","#E69F00"
"bfbcchof-1",-6.70059008052659,-0.175420101122077,7405.55712890625,-8174.35791015625,"Epi_SecA","#E69F00"
"bfbcciae-1",-3.64294189861131,-0.629164095358069,7414.4462890625,-8102.3095703125,"Epi_SecA","#E69F00"
"bfbccijk-1",-5.82217878749681,0.484822039171044,7404.14501953125,-8141.58837890625,"Epi_SecA","#E69F00"
"bfbcgbjm-1",5.18634706089187,-5.27134429974955,7403.92919921875,-8135.29541015625,"T cell","#1C91D4"
"bfbchbpl-1",-7.05098099162889,-0.47698872847956,7396.28173828125,-8185.21142578125,"Epi_SecA","#E69F00"
"bfbchcgo-1",-5.01739162853074,0.590536777540032,7408.40087890625,-8187.18212890625,"Epi_SecA","#E69F00"
"bfbcjbgj-1",-4.47284931590867,-0.761919553713019,7404.5625,-8181.92431640625,"Epi_SecA","#E69F00"
"bfbcpiep-1",-4.97179645946336,-0.527953232959922,7407.4580078125,-8239.5,"Epi_SecA","#E69F00"
"bfbcppoh-1",-7.4107346003325,-0.661672766641791,7408.66845703125,-8249.71875,"Epi_SecA","#E69F00"
"bfbdcmnd-1",-5.15591377666307,-0.32729021771353,7395.86279296875,-8243.5322265625,"Epi_SecA","#E69F00"
"bfbdgdde-1",-5.46510738780809,0.676325385137383,7391.24072265625,-8210.736328125,"Epi_SecA","#E69F00"
"bfbdggjh-1",-5.38702434947801,-1.25539826913279,7407.828125,-8231.3486328125,"Epi_SecA","#E69F00"
"bfbdlfej-1",-5.70633882930589,0.428015594049279,7416.064453125,-8231.3486328125,"Epi_SecA","#E69F00"
"bfbdljac-1",-5.6784200136931,-1.33332061334055,7405.87939453125,-8214.869140625,"Epi_SecA","#E69F00"
"bfbdncdd-1",-6.96601862361741,0.301497255130593,7403.2197265625,-8194.8720703125,"Epi_SecA","#E69F00"
"bfbdolng-1",-5.70842260768724,-2.0157034353773,7401.244140625,-8206.1123046875,"Epi_SecA","#E69F00"
"bfbdpcjm-1",-6.65593523433519,-2.48922836347025,7408.548828125,-8200.146484375,"Epi_SecA","#E69F00"
"bfbdpion-1",-5.86371368816209,-0.701178784803565,7393.48876953125,-8200.1923828125,"Epi_SecA","#E69F00"
"bfbeejhe-1",-7.09030241420579,-0.970336194471534,7363.11669921875,-8146.84765625,"Epi_SecA","#E69F00"
"bfbefdim-1",-6.29761022975755,-1.96089505715769,7359.173828125,-8160.826171875,"Epi_SecA","#E69F00"
"bfbeilkh-1",-5.79821819713426,-2.16766106648844,7358.1689453125,-8153.8857421875,"Epi_SecA","#E69F00"
"bfbekpod-1",-3.1150974695952,2.714366082712,7350.908203125,-8148.84228515625,"Epi_SecA","#E69F00"
"bfbfglfa-1",-2.13980359485459,-1.78950953050059,7597.5224609375,-8195.47265625,"Epi_SecA","#E69F00"
